episode,game,exploration,explored,safe,MA_explored,MA_safe
0,[1]_forecast_horizon=[23],99.0,-200.6,-37.8,-200.6,-37.8
1,[3]_forecast_horizon=[29],98.0,-132.4,-20.7,-166.5,-29.2
2,[5]_forecast_horizon=[26],97.0,-320.3,37.3,-200.6,-20.7
3,[7]_forecast_horizon=[10],96.1,-371.0,-27.1,-260.5,-23.9
4,[9]_forecast_horizon=[15],95.1,-377.8,0.0,-320.3,-20.7
5,[11]_forecast_horizon=[13],94.1,-154.8,43.0,-260.5,-10.3
6,[13]_forecast_horizon=[22],93.2,-71.8,75.2,-200.6,0.0
7,[15]_forecast_horizon=[27],92.3,-195.9,82.9,-198.3,18.6
8,[17]_forecast_horizon=[18],91.4,-17.8,-29.8,-195.9,0.0
9,[19]_forecast_horizon=[18],90.4,-128.3,-25.0,-175.4,-10.3
10,[21]_forecast_horizon=[18],89.5,-125.4,-4.6,-154.8,-4.6
11,[23]_forecast_horizon=[15],88.6,-303.3,1.4,-175.4,-2.3
12,[25]_forecast_horizon=[12],87.8,-52.6,6.0,-154.8,0.0
13,[27]_forecast_horizon=[25],86.9,-105.8,55.8,-143.6,0.7
14,[29]_forecast_horizon=[23],86.0,-74.5,-13.9,-132.4,0.0
15,[31]_forecast_horizon=[14],85.1,-642.9,-3.8,-143.6,-1.9
16,[33]_forecast_horizon=[10],84.3,-184.7,-10.8,-154.8,-3.8
17,[35]_forecast_horizon=[22],83.5,-117.9,-48.6,-143.6,-4.2
18,[37]_forecast_horizon=[19],82.6,-78.7,31.3,-132.4,-3.8
19,[39]_forecast_horizon=[24],81.8,-387.1,1.3,-143.6,-1.9
20,[41]_forecast_horizon=[19],81.0,-198.0,46.0,-154.8,0.0
21,[43]_forecast_horizon=[15],80.2,-92.2,-34.2,-143.6,-1.9
22,[45]_forecast_horizon=[27],79.4,-272.9,27.1,-154.8,0.0
23,[47]_forecast_horizon=[28],78.6,-122.7,-52.0,-143.6,-1.9
24,[49]_forecast_horizon=[17],77.8,-22.9,14.9,-132.4,0.0
25,[51]_forecast_horizon=[28],77.0,-107.3,46.0,-130.4,0.6
26,[53]_forecast_horizon=[26],76.2,-171.9,93.2,-132.4,1.3
27,[55]_forecast_horizon=[20],75.5,-16.6,37.0,-130.4,1.3
28,[57]_forecast_horizon=[22],74.7,-15.3,-13.5,-128.3,1.3
29,[59]_forecast_horizon=[21],74.0,-379.3,-4.8,-130.4,0.6
30,[61]_forecast_horizon=[11],73.2,-379.8,55.7,-132.4,1.3
31,[63]_forecast_horizon=[24],72.5,-701.1,45.3,-143.6,1.3
32,[65]_forecast_horizon=[13],71.8,-977.0,-21.3,-154.8,1.3
33,[67]_forecast_horizon=[12],71.1,-511.7,45.3,-163.4,1.3
34,[69]_forecast_horizon=[12],70.3,-128.6,-11.4,-154.8,1.3
35,[71]_forecast_horizon=[17],69.6,-232.5,49.5,-163.4,1.3
36,[73]_forecast_horizon=[12],68.9,-178.7,-8.2,-171.9,1.3
37,[75]_forecast_horizon=[26],68.3,-142.9,57.1,-163.4,1.3
38,[77]_forecast_horizon=[18],67.6,-358.3,-42.1,-171.9,1.3
39,[79]_forecast_horizon=[10],66.9,-58.1,10.1,-163.4,1.3
40,[81]_forecast_horizon=[14],66.2,-32.9,48.1,-154.8,1.4
41,[83]_forecast_horizon=[18],65.6,-209.1,76.2,-163.4,3.7
42,[85]_forecast_horizon=[11],64.9,-90.9,-1.0,-154.8,1.4
43,[87]_forecast_horizon=[23],64.3,-230.0,76.9,-163.4,3.7
44,[89]_forecast_horizon=[25],63.6,-173.9,56.1,-171.9,6.0
45,[91]_forecast_horizon=[14],63.0,-112.4,11.1,-163.4,8.1
46,[93]_forecast_horizon=[15],62.4,-62.3,48.7,-154.8,10.1
47,[95]_forecast_horizon=[27],61.7,-43.1,68.2,-148.9,10.6
48,[97]_forecast_horizon=[15],61.1,-32.1,-7.1,-142.9,10.1
49,[99]_forecast_horizon=[27],60.5,-42.1,60.7,-137.7,10.6
50,[1]_forecast_horizon=[23],59.9,-67.1,6.9,-132.4,10.1
51,[3]_forecast_horizon=[29],59.3,-151.6,30.5,-137.7,10.6
52,[5]_forecast_horizon=[26],58.7,-174.5,39.3,-142.9,11.1
53,[7]_forecast_horizon=[10],58.1,-152.5,-47.4,-147.2,10.6
54,[9]_forecast_horizon=[15],57.5,-260.2,2.9,-151.6,10.1
55,[11]_forecast_horizon=[13],57.0,-44.5,20.5,-147.2,10.6
56,[13]_forecast_horizon=[22],56.4,-59.8,60.8,-142.9,11.1
57,[15]_forecast_horizon=[27],55.8,-108.4,73.7,-137.7,13.0
58,[17]_forecast_horizon=[18],55.3,18.9,-4.4,-132.4,11.1
59,[19]_forecast_horizon=[18],54.7,-109.8,11.6,-130.5,11.3
60,[21]_forecast_horizon=[18],54.2,-69.4,36.7,-128.6,11.6
61,[23]_forecast_horizon=[15],53.6,-140.0,34.5,-130.5,13.2
62,[25]_forecast_horizon=[12],53.1,-8.1,31.0,-128.6,14.9
63,[27]_forecast_horizon=[25],52.6,-114.0,77.0,-128.5,17.7
64,[29]_forecast_horizon=[23],52.0,-55.7,-57.4,-128.3,14.9
65,[31]_forecast_horizon=[14],51.5,-416.4,15.6,-128.5,15.3
66,[33]_forecast_horizon=[10],51.0,-49.3,-7.9,-128.3,14.9
67,[35]_forecast_horizon=[22],50.5,-36.3,-5.4,-126.9,13.2
68,[37]_forecast_horizon=[19],50.0,-76.8,63.9,-125.4,14.9
69,[39]_forecast_horizon=[24],49.5,-271.8,48.9,-126.9,15.3
70,[41]_forecast_horizon=[19],49.0,-178.7,42.0,-128.3,15.6
71,[43]_forecast_horizon=[15],48.5,-100.2,29.7,-126.9,18.0
72,[45]_forecast_horizon=[27],48.0,-128.1,36.5,-128.1,20.5
73,[47]_forecast_horizon=[28],47.5,-24.4,-52.0,-126.8,18.0
74,[49]_forecast_horizon=[17],47.1,-9.8,62.0,-125.4,20.5
75,[51]_forecast_horizon=[28],46.6,-40.9,23.6,-124.1,22.0
76,[53]_forecast_horizon=[26],46.1,-144.4,93.2,-125.4,23.6
77,[55]_forecast_horizon=[20],45.7,4.5,72.9,-124.1,25.3
78,[57]_forecast_horizon=[22],45.2,-12.4,-0.6,-122.7,23.6
79,[59]_forecast_horizon=[21],44.8,-228.4,18.8,-124.1,22.0
80,[61]_forecast_horizon=[11],44.3,-261.6,47.2,-125.4,23.6
81,[63]_forecast_horizon=[24],43.9,-318.9,31.1,-126.8,25.3
82,[65]_forecast_horizon=[13],43.4,-744.2,0.0,-128.1,23.6
83,[67]_forecast_horizon=[12],43.0,-231.1,9.3,-128.2,22.0
84,[69]_forecast_horizon=[12],42.6,-71.5,2.2,-128.1,20.5
85,[71]_forecast_horizon=[17],42.1,-141.9,29.4,-128.2,22.0
86,[73]_forecast_horizon=[12],41.7,-25.0,37.5,-128.1,23.6
87,[75]_forecast_horizon=[26],41.3,-163.0,38.3,-128.2,25.3
88,[77]_forecast_horizon=[18],40.9,-397.3,0.0,-128.3,23.6
89,[79]_forecast_horizon=[10],40.5,-9.7,-18.7,-128.2,22.0
90,[81]_forecast_horizon=[14],40.1,-19.1,34.4,-128.1,23.6
91,[83]_forecast_horizon=[18],39.7,-60.8,52.9,-126.8,25.3
92,[85]_forecast_horizon=[11],39.3,-10.9,20.0,-125.4,23.6
93,[87]_forecast_horizon=[23],38.9,-105.4,63.7,-124.1,25.3
94,[89]_forecast_horizon=[25],38.5,-79.9,44.5,-122.7,27.1
