episode,game,exploration,explored,safe,MA_explored,MA_safe
0,['100+49sin((2pi/14)t)+0e'],99.0,-1924.8,0.0,-1924.8,0.0
1,['100+49sin((2pi/39)t)+0e'],98.0,1.2,0.0,-961.8,0.0
2,['100+49sin((2pi/6)t)+0e'],97.0,-4.7,-57.9,-4.7,0.0
3,['100+49sin((2pi/32)t)+0e'],96.1,-15.8,-90.5,-10.2,-29.0
4,['100+49sin((2pi/2)t)+0e'],95.1,-16.1,0.0,-15.8,0.0
5,['100+49sin((2pi/27)t)+0e'],94.1,3.7,-4.4,-10.2,-2.2
6,['100+49sin((2pi/6)t)+0e'],93.2,-10.5,-3.9,-10.5,-3.9
7,['100+49sin((2pi/27)t)+0e'],92.3,-10.3,-15.9,-10.4,-4.1
8,['100+49sin((2pi/24)t)+0e'],91.4,-7.8,38.3,-10.3,-3.9
9,['100+49sin((2pi/7)t)+0e'],90.4,-25.4,-102.1,-10.4,-4.1
10,['100+49sin((2pi/26)t)+0e'],89.5,-63.8,-44.7,-10.5,-4.4
11,['100+49sin((2pi/39)t)+0e'],88.6,-8.8,-77.1,-10.4,-10.1
12,['100+49sin((2pi/37)t)+0e'],87.8,-7.0,-106.3,-10.3,-15.9
13,['100+49sin((2pi/21)t)+0e'],86.9,-44.5,95.6,-10.4,-10.1
14,['100+49sin((2pi/5)t)+0e'],86.0,-40.3,96.5,-10.5,-4.4
15,['100+49sin((2pi/23)t)+0e'],85.1,6.6,82.2,-10.4,-4.1
16,['100+49sin((2pi/17)t)+0e'],84.3,-16.2,-84.9,-10.5,-4.4
17,['100+49sin((2pi/9)t)+0e'],83.5,-22.9,40.1,-13.2,-4.1
18,['100+49sin((2pi/31)t)+0e'],82.6,-1.4,57.3,-10.5,-3.9
19,['100+49sin((2pi/3)t)+0e'],81.8,-32.2,-2.2,-13.2,-3.1
20,['100+49sin((2pi/26)t)+0e'],81.0,9.0,84.4,-10.5,-2.2
21,['100+49sin((2pi/14)t)+0e'],80.2,8.6,14.1,-10.4,-1.1
22,['100+49sin((2pi/30)t)+0e'],79.4,-34.6,63.2,-10.5,0.0
23,['100+49sin((2pi/33)t)+0e'],78.6,-5.7,90.2,-10.4,0.0
24,['100+49sin((2pi/14)t)+0e'],77.8,-20.0,24.0,-10.5,0.0
25,['100+49sin((2pi/36)t)+0e'],77.0,-10.3,84.8,-10.4,0.0
26,['100+49sin((2pi/21)t)+0e'],76.2,10.4,95.6,-10.3,0.0
27,['100+49sin((2pi/5)t)+0e'],75.5,-20.5,96.5,-10.4,7.0
28,['100+49sin((2pi/32)t)+0e'],74.7,20.8,80.8,-10.3,14.1
29,['100+49sin((2pi/27)t)+0e'],74.0,-4.1,94.6,-10.3,19.0
