episode,game,exploration,explored,safe,MA_explored,MA_safe,test
0,['100+49sin((2pi/34)t)+0e'],80.0,-55.3,-53.1,-55.3,-53.1,-334.1
1,['100+49sin((2pi/32)t)+0e'],73.3,-50.1,57.2,-52.7,2.0,516.1
2,['100+49sin((2pi/37)t)+0e'],67.3,-2.7,93.2,-50.1,57.2,318.0
3,['100+49sin((2pi/30)t)+0e'],61.9,-9.1,94.3,-29.6,75.2,448.7
4,['100+49sin((2pi/32)t)+0e'],56.9,18.5,96.7,-9.1,93.2,641.3
5,['100+49sin((2pi/38)t)+0e'],52.5,30.5,94.9,-5.9,93.7,296.0
6,['100+49sin((2pi/36)t)+0e'],48.4,24.2,97.7,-2.7,94.3,674.8
7,['100+49sin((2pi/34)t)+0e'],44.8,19.7,97.8,7.9,94.6,857.9
8,['100+49sin((2pi/31)t)+0e'],41.5,33.3,95.8,18.5,94.9,506.7
9,['100+49sin((2pi/38)t)+0e'],38.5,45.0,93.2,19.1,94.6,225.1
10,['100+49sin((2pi/35)t)+0e'],35.8,20.0,97.4,19.7,94.9,726.6
11,['100+49sin((2pi/32)t)+0e'],33.3,51.4,97.6,19.9,95.4,672.3
12,['100+49sin((2pi/33)t)+0e'],31.1,49.1,96.6,20.0,95.8,471.5
13,['100+49sin((2pi/31)t)+0e'],29.1,55.3,97.9,22.1,96.2,763.5
14,['100+49sin((2pi/38)t)+0e'],27.3,42.9,92.6,24.2,95.8,219.5
15,['100+49sin((2pi/34)t)+0e'],25.6,69.8,97.3,27.3,96.2,671.8
16,['100+49sin((2pi/30)t)+0e'],24.1,64.2,96.1,30.5,96.1,429.8
17,['100+49sin((2pi/35)t)+0e'],22.8,48.1,97.2,31.9,96.3,464.2
18,['100+49sin((2pi/31)t)+0e'],21.6,64.3,98.1,33.3,96.6,832.3
19,['100+49sin((2pi/35)t)+0e'],20.5,50.3,95.5,38.1,96.3,350.9
20,['100+49sin((2pi/36)t)+0e'],19.5,73.6,98.0,42.9,96.6,641.9
21,['100+49sin((2pi/33)t)+0e'],18.6,45.0,97.2,43.9,96.6,664.2
22,['100+49sin((2pi/37)t)+0e'],17.8,74.4,98.3,45.0,96.7,751.0
23,['100+49sin((2pi/31)t)+0e'],17.0,74.0,97.5,45.0,96.9,633.2
24,['100+49sin((2pi/38)t)+0e'],16.4,79.3,97.0,45.0,97.0,522.7
25,['100+49sin((2pi/35)t)+0e'],15.7,87.6,93.6,46.5,96.8,249.2
26,['100+49sin((2pi/35)t)+0e'],15.2,76.7,94.6,48.1,96.7,291.6
27,['100+49sin((2pi/38)t)+0e'],14.7,82.9,96.6,48.6,96.7,405.9
28,['100+49sin((2pi/37)t)+0e'],14.3,85.5,93.6,49.1,96.6,301.5
29,['100+49sin((2pi/39)t)+0e'],13.9,87.3,97.0,49.7,96.7,614.6
30,['100+49sin((2pi/35)t)+0e'],13.5,76.7,95.7,50.3,96.6,292.1
31,['100+49sin((2pi/34)t)+0e'],13.2,82.5,97.2,50.8,96.7,826.1
32,['100+49sin((2pi/34)t)+0e'],12.9,75.6,94.0,51.4,96.6,267.0
33,['100+49sin((2pi/33)t)+0e'],12.6,83.8,96.8,53.3,96.7,727.7
34,['100+49sin((2pi/32)t)+0e'],12.3,72.6,97.0,55.3,96.7,701.4
35,['100+49sin((2pi/36)t)+0e'],12.1,74.9,94.8,59.7,96.7,405.8
