episode,game,exploration,explored,safe,MA_explored,MA_safe,test
0,['100+49sin((2pi/31)t)+0e'],99.0,-19.0,75.0,-19.0,75.0,227.9
1,['100+49sin((2pi/33)t)+0e'],98.0,-39.3,96.7,-29.2,85.8,766.7
2,['100+49sin((2pi/35)t)+0e'],97.0,6.5,90.0,-19.0,90.0,403.3
3,['100+49sin((2pi/35)t)+0e'],96.1,8.8,91.9,-6.3,90.9,384.1
4,['100+49sin((2pi/35)t)+0e'],95.1,-16.3,92.4,-16.3,91.9,615.1
5,['100+49sin((2pi/38)t)+0e'],94.1,-22.7,92.1,-17.7,92.0,220.2
6,['100+49sin((2pi/30)t)+0e'],93.2,-54.9,95.3,-19.0,92.1,384.0
7,['100+49sin((2pi/35)t)+0e'],92.3,-32.6,92.9,-20.9,92.3,592.8
8,['100+49sin((2pi/38)t)+0e'],91.4,-16.3,94.9,-19.0,92.4,562.5
9,['100+49sin((2pi/36)t)+0e'],90.4,4.4,94.6,-17.7,92.7,253.7
10,['100+49sin((2pi/39)t)+0e'],89.5,-45.4,95.3,-19.0,92.9,292.5
11,['100+49sin((2pi/31)t)+0e'],88.6,-63.0,95.4,-20.9,93.8,342.1
12,['100+49sin((2pi/32)t)+0e'],87.8,-4.7,95.5,-19.0,94.6,277.7
13,['100+49sin((2pi/32)t)+0e'],86.9,-26.3,95.8,-20.9,94.7,374.8
14,['100+49sin((2pi/37)t)+0e'],86.0,-14.4,95.9,-19.0,94.9,382.6
15,['100+49sin((2pi/33)t)+0e'],85.1,-17.2,97.1,-18.1,95.1,550.3
16,['100+49sin((2pi/31)t)+0e'],84.3,1.2,93.1,-17.2,94.9,275.5
17,['100+49sin((2pi/31)t)+0e'],83.5,-16.6,91.9,-16.9,94.7,293.1
18,['100+49sin((2pi/32)t)+0e'],82.6,-44.2,94.6,-17.2,94.6,311.5
19,['100+49sin((2pi/38)t)+0e'],81.8,-10.5,92.9,-16.9,94.6,222.2
20,['100+49sin((2pi/37)t)+0e'],81.0,-16.0,95.0,-16.6,94.6,381.2
21,['100+49sin((2pi/31)t)+0e'],80.2,-8.9,95.9,-16.5,94.7,383.9
22,['100+49sin((2pi/31)t)+0e'],79.4,-5.5,97.3,-16.3,94.9,787.1
23,['100+49sin((2pi/33)t)+0e'],78.6,6.5,95.9,-16.3,94.9,334.4
24,['100+49sin((2pi/32)t)+0e'],77.8,5.9,94.6,-16.3,94.9,365.3
25,['100+49sin((2pi/34)t)+0e'],77.0,13.5,98.0,-16.1,94.9,818.8
26,['100+49sin((2pi/33)t)+0e'],76.2,-11.0,94.4,-16.0,94.9,828.8
27,['100+49sin((2pi/34)t)+0e'],75.5,1.3,91.4,-15.2,94.7,281.6
28,['100+49sin((2pi/30)t)+0e'],74.7,25.9,95.3,-14.4,94.9,663.6
29,['100+49sin((2pi/34)t)+0e'],74.0,24.6,95.2,-12.7,94.9,505.1
30,['100+49sin((2pi/35)t)+0e'],73.2,-48.6,94.8,-14.4,94.9,349.4
31,['100+49sin((2pi/30)t)+0e'],72.5,-24.2,95.3,-15.2,94.9,400.3
32,['100+49sin((2pi/38)t)+0e'],71.8,-6.9,97.0,-14.4,95.0,467.0
33,['100+49sin((2pi/35)t)+0e'],71.1,28.0,97.3,-12.7,95.1,666.5
34,['100+49sin((2pi/36)t)+0e'],70.3,14.6,98.1,-11.0,95.2,679.2
35,['100+49sin((2pi/31)t)+0e'],69.6,29.3,94.5,-10.8,95.1,307.3
36,['100+49sin((2pi/30)t)+0e'],68.9,30.4,95.4,-10.5,95.2,508.9
37,['100+49sin((2pi/34)t)+0e'],68.3,-19.5,98.0,-10.8,95.2,808.4
38,['100+49sin((2pi/37)t)+0e'],67.6,36.4,96.7,-10.5,95.3,550.0
39,['100+49sin((2pi/36)t)+0e'],66.9,16.1,96.9,-9.7,95.3,407.0
40,['100+49sin((2pi/32)t)+0e'],66.2,2.3,96.7,-8.9,95.3,558.7
41,['100+49sin((2pi/32)t)+0e'],65.6,-23.8,97.4,-9.7,95.3,859.0
42,['100+49sin((2pi/36)t)+0e'],64.9,7.2,97.6,-8.9,95.3,593.5
43,['100+49sin((2pi/30)t)+0e'],64.3,24.0,95.0,-7.9,95.3,433.0
44,['100+49sin((2pi/34)t)+0e'],63.6,23.3,94.0,-6.9,95.3,269.4
45,['100+49sin((2pi/32)t)+0e'],63.0,17.2,98.1,-6.2,95.3,850.6
46,['100+49sin((2pi/31)t)+0e'],62.4,12.9,97.3,-5.5,95.3,601.7
47,['100+49sin((2pi/30)t)+0e'],61.7,28.0,94.2,-5.1,95.3,310.3
48,['100+49sin((2pi/39)t)+0e'],61.1,7.6,95.0,-4.7,95.3,253.8
49,['100+49sin((2pi/34)t)+0e'],60.5,8.1,97.3,-1.7,95.3,595.7
50,['100+49sin((2pi/39)t)+0e'],59.9,39.7,93.9,1.2,95.3,202.9
51,['100+49sin((2pi/35)t)+0e'],59.3,13.2,97.5,1.3,95.3,728.8
52,['100+49sin((2pi/37)t)+0e'],58.7,10.1,92.4,1.3,95.3,223.0
53,['100+49sin((2pi/33)t)+0e'],58.1,25.4,97.4,1.8,95.3,859.9
54,['100+49sin((2pi/39)t)+0e'],57.5,21.3,95.3,2.3,95.3,338.4
55,['100+49sin((2pi/30)t)+0e'],57.0,23.6,95.8,3.4,95.3,749.4
56,['100+49sin((2pi/33)t)+0e'],56.4,37.0,94.4,4.4,95.3,254.5
57,['100+49sin((2pi/31)t)+0e'],55.8,11.0,95.1,5.2,95.3,332.0
58,['100+49sin((2pi/35)t)+0e'],55.3,5.4,95.7,5.4,95.3,396.9
59,['100+49sin((2pi/31)t)+0e'],54.7,33.7,97.8,5.7,95.3,732.4
60,['100+49sin((2pi/30)t)+0e'],54.2,2.2,94.4,5.4,95.3,573.0
61,['100+49sin((2pi/39)t)+0e'],53.6,34.1,94.5,5.7,95.3,246.8
62,['100+49sin((2pi/30)t)+0e'],53.1,-1.0,93.2,5.4,95.3,359.4
63,['100+49sin((2pi/32)t)+0e'],52.6,26.9,97.2,5.7,95.3,577.6
64,['100+49sin((2pi/35)t)+0e'],52.0,16.2,97.5,5.9,95.3,567.6
65,['100+49sin((2pi/38)t)+0e'],51.5,36.5,97.7,6.2,95.3,740.4
66,['100+49sin((2pi/32)t)+0e'],51.0,43.4,94.2,6.5,95.3,262.0
67,['100+49sin((2pi/31)t)+0e'],50.5,34.8,94.4,6.5,95.3,288.0
68,['100+49sin((2pi/30)t)+0e'],50.0,31.6,96.6,6.5,95.3,809.7
69,['100+49sin((2pi/33)t)+0e'],49.5,43.7,96.2,6.9,95.3,479.7
70,['100+49sin((2pi/35)t)+0e'],49.0,48.3,95.0,7.2,95.3,250.4
71,['100+49sin((2pi/39)t)+0e'],48.5,21.1,97.6,7.4,95.3,739.9
72,['100+49sin((2pi/33)t)+0e'],48.0,52.1,98.1,7.6,95.3,833.4
73,['100+49sin((2pi/34)t)+0e'],47.5,19.7,97.0,7.8,95.3,760.1
74,['100+49sin((2pi/33)t)+0e'],47.1,23.2,95.7,8.1,95.3,363.6
75,['100+49sin((2pi/30)t)+0e'],46.6,50.5,96.7,8.4,95.4,533.6
76,['100+49sin((2pi/36)t)+0e'],46.1,36.0,96.6,8.8,95.4,375.8
77,['100+49sin((2pi/34)t)+0e'],45.7,33.7,96.3,9.5,95.4,776.3
78,['100+49sin((2pi/36)t)+0e'],45.2,34.6,95.5,10.1,95.4,359.8
79,['100+49sin((2pi/36)t)+0e'],44.8,19.0,94.8,10.6,95.4,300.8
80,['100+49sin((2pi/38)t)+0e'],44.3,-10.2,98.3,10.1,95.4,745.0
81,['100+49sin((2pi/32)t)+0e'],43.9,20.6,96.3,10.6,95.4,393.3
82,['100+49sin((2pi/39)t)+0e'],43.4,49.2,98.1,11.0,95.5,735.2
83,['100+49sin((2pi/39)t)+0e'],43.0,25.0,95.2,12.0,95.4,626.7
84,['100+49sin((2pi/37)t)+0e'],42.6,33.8,93.5,12.9,95.4,268.8
85,['100+49sin((2pi/34)t)+0e'],42.1,40.4,96.9,13.0,95.4,643.6
86,['100+49sin((2pi/32)t)+0e'],41.7,47.1,96.4,13.2,95.5,352.1
87,['100+49sin((2pi/34)t)+0e'],41.3,-4.0,94.9,13.0,95.4,275.4
88,['100+49sin((2pi/39)t)+0e'],40.9,27.1,95.1,13.2,95.4,292.8
89,['100+49sin((2pi/34)t)+0e'],40.5,33.7,95.0,13.4,95.4,249.5
90,['100+49sin((2pi/35)t)+0e'],40.1,55.1,95.4,13.5,95.4,502.3
91,['100+49sin((2pi/31)t)+0e'],39.7,38.2,95.0,14.1,95.4,314.8
92,['100+49sin((2pi/30)t)+0e'],39.3,42.1,96.4,14.6,95.4,490.0
93,['100+49sin((2pi/34)t)+0e'],38.9,22.9,95.0,15.3,95.4,251.1
94,['100+49sin((2pi/38)t)+0e'],38.5,33.2,93.8,16.1,95.4,248.2
95,['100+49sin((2pi/30)t)+0e'],38.1,30.3,94.5,16.2,95.4,441.3
96,['100+49sin((2pi/36)t)+0e'],37.7,29.8,97.8,16.2,95.4,712.8
97,['100+49sin((2pi/30)t)+0e'],37.3,50.9,88.4,16.7,95.4,545.2
98,['100+49sin((2pi/30)t)+0e'],37.0,57.7,91.8,17.2,95.3,453.5
99,['100+49sin((2pi/35)t)+0e'],36.6,51.2,96.9,18.1,95.4,648.6
