episode,game,exploration,explored,safe,MA_explored,MA_safe,test
0,['100+49sin((2pi/35)t)+0e'],80.0,-35.1,53.4,-35.1,53.4,396.0
1,['100+49sin((2pi/34)t)+0e'],73.3,-12.8,65.0,-24.0,59.2,170.8
2,['100+49sin((2pi/35)t)+0e'],67.3,23.4,94.1,-12.8,65.0,303.1
3,['100+49sin((2pi/39)t)+0e'],61.9,23.3,89.6,5.3,77.3,210.3
4,['100+49sin((2pi/33)t)+0e'],56.9,22.6,93.5,22.6,89.6,629.9
5,['100+49sin((2pi/38)t)+0e'],52.5,30.4,96.6,23.0,91.5,624.1
6,['100+49sin((2pi/37)t)+0e'],48.4,6.9,94.5,22.6,93.5,553.7
7,['100+49sin((2pi/39)t)+0e'],44.8,59.5,93.0,23.0,93.2,475.2
8,['100+49sin((2pi/36)t)+0e'],41.5,35.2,94.1,23.3,93.5,249.2
9,['100+49sin((2pi/38)t)+0e'],38.5,52.8,92.1,23.4,93.2,451.6
10,['100+49sin((2pi/36)t)+0e'],35.8,38.4,95.4,23.4,93.5,276.4
11,['100+49sin((2pi/32)t)+0e'],33.3,47.0,89.4,26.9,93.2,284.2
12,['100+49sin((2pi/32)t)+0e'],31.1,57.2,93.2,30.4,93.2,715.9
13,['100+49sin((2pi/34)t)+0e'],29.1,67.3,93.6,32.8,93.3,349.3
14,['100+49sin((2pi/39)t)+0e'],27.3,33.1,93.7,33.1,93.5,523.6
15,['100+49sin((2pi/30)t)+0e'],25.6,47.1,93.7,34.2,93.5,307.9
16,['100+49sin((2pi/34)t)+0e'],24.1,52.6,90.8,35.2,93.5,238.8
17,['100+49sin((2pi/36)t)+0e'],22.8,61.9,94.8,36.8,93.5,249.5
18,['100+49sin((2pi/30)t)+0e'],21.6,54.2,94.0,38.4,93.6,362.7
19,['100+49sin((2pi/39)t)+0e'],20.5,79.5,95.4,42.7,93.7,376.0
20,['100+49sin((2pi/37)t)+0e'],19.5,80.1,94.6,47.0,93.7,410.8
21,['100+49sin((2pi/33)t)+0e'],18.6,65.1,92.3,47.1,93.7,250.1
22,['100+49sin((2pi/36)t)+0e'],17.8,58.4,93.5,47.1,93.6,246.3
23,['100+49sin((2pi/37)t)+0e'],17.0,81.9,97.0,49.9,93.7,654.3
24,['100+49sin((2pi/38)t)+0e'],16.4,60.6,96.9,52.6,93.7,739.0
25,['100+49sin((2pi/38)t)+0e'],15.7,67.7,95.1,52.7,93.7,491.2
26,['100+49sin((2pi/37)t)+0e'],15.2,77.9,95.5,52.8,93.7,407.8
27,['100+49sin((2pi/37)t)+0e'],14.7,64.9,92.3,53.5,93.7,232.9
28,['100+49sin((2pi/35)t)+0e'],14.3,72.4,95.0,54.2,93.7,252.6
29,['100+49sin((2pi/33)t)+0e'],13.9,76.9,96.4,55.7,93.9,612.1
