episode,game,exploration,explored,safe,MA_explored,MA_safe,test
0,['100+49sin((2pi/31)t)+0e'],80.0,-14.4,-6.4,-14.4,-6.4,-40.0
1,['100+49sin((2pi/39)t)+0e'],73.3,-16.4,82.6,-15.4,38.1,351.3
2,['100+49sin((2pi/36)t)+0e'],67.3,-3.6,85.2,-14.4,82.6,230.5
3,['100+49sin((2pi/35)t)+0e'],61.9,2.5,89.7,-9.0,83.9,299.9
4,['100+49sin((2pi/33)t)+0e'],56.9,3.3,91.6,-3.6,85.2,291.9
5,['100+49sin((2pi/39)t)+0e'],52.5,12.8,88.4,-0.6,86.8,496.0
6,['100+49sin((2pi/37)t)+0e'],48.4,39.5,90.0,2.5,88.4,217.1
7,['100+49sin((2pi/37)t)+0e'],44.8,28.8,94.1,2.9,89.0,483.6
8,['100+49sin((2pi/36)t)+0e'],41.5,31.8,94.3,3.3,89.7,690.4
9,['100+49sin((2pi/35)t)+0e'],38.5,53.1,93.0,8.0,89.9,246.8
10,['100+49sin((2pi/38)t)+0e'],35.8,55.0,88.0,12.8,89.7,192.6
11,['100+49sin((2pi/32)t)+0e'],33.3,19.6,96.6,16.2,89.9,476.4
12,['100+49sin((2pi/35)t)+0e'],31.1,64.2,93.5,19.6,90.0,269.2
13,['100+49sin((2pi/39)t)+0e'],29.1,59.2,93.4,24.2,90.8,511.1
14,['100+49sin((2pi/32)t)+0e'],27.3,23.2,97.0,23.2,91.6,578.9
15,['100+49sin((2pi/38)t)+0e'],25.6,66.5,96.6,26.0,92.3,441.9
16,['100+49sin((2pi/34)t)+0e'],24.1,69.8,95.9,28.8,93.0,384.4
17,['100+49sin((2pi/32)t)+0e'],22.8,77.0,95.6,30.3,93.2,357.6
18,['100+49sin((2pi/34)t)+0e'],21.6,77.8,95.7,31.8,93.4,296.0
19,['100+49sin((2pi/39)t)+0e'],20.5,80.3,92.1,35.7,93.2,200.2
20,['100+49sin((2pi/36)t)+0e'],19.5,59.2,96.2,39.5,93.4,337.4
21,['100+49sin((2pi/33)t)+0e'],18.6,44.8,93.9,42.2,93.5,284.6
