episode,game,exploration,explored,safe,MA_explored,MA_safe,test
0,['100+49sin((2pi/39)t)+0e'],80.0,-44.5,-114.7,-44.5,-114.7,-276.9
1,['100+49sin((2pi/35)t)+0e'],73.3,-14.7,87.6,-29.6,-13.5,299.8
2,['100+49sin((2pi/31)t)+0e'],67.3,14.4,98.0,-14.7,87.6,828.1
3,['100+49sin((2pi/30)t)+0e'],61.9,10.3,95.0,-2.2,91.3,324.5
4,['100+49sin((2pi/36)t)+0e'],56.9,7.2,95.9,7.2,95.0,564.4
5,['100+49sin((2pi/37)t)+0e'],52.5,39.5,92.7,8.7,93.8,241.7
6,['100+49sin((2pi/34)t)+0e'],48.4,5.0,96.5,7.2,95.0,509.8
7,['100+49sin((2pi/36)t)+0e'],44.8,19.1,94.9,8.7,95.0,256.2
8,['100+49sin((2pi/38)t)+0e'],41.5,43.8,92.4,10.3,94.9,206.8
9,['100+49sin((2pi/37)t)+0e'],38.5,46.8,95.5,12.3,95.0,288.4
10,['100+49sin((2pi/38)t)+0e'],35.8,63.0,94.2,14.4,94.9,244.3
11,['100+49sin((2pi/39)t)+0e'],33.3,42.3,96.1,16.8,95.0,519.9
12,['100+49sin((2pi/35)t)+0e'],31.1,48.8,97.2,19.1,95.0,590.7
13,['100+49sin((2pi/37)t)+0e'],29.1,57.9,97.8,29.3,95.3,660.8
14,['100+49sin((2pi/33)t)+0e'],27.3,75.9,93.8,39.5,95.0,247.1
15,['100+49sin((2pi/39)t)+0e'],25.6,81.3,97.3,40.9,95.3,515.0
16,['100+49sin((2pi/33)t)+0e'],24.1,60.9,95.6,42.3,95.5,302.9
17,['100+49sin((2pi/39)t)+0e'],22.8,78.0,94.9,43.1,95.3,613.6
18,['100+49sin((2pi/39)t)+0e'],21.6,51.8,93.3,43.8,95.0,187.0
19,['100+49sin((2pi/30)t)+0e'],20.5,74.0,96.1,45.3,95.3,410.5
20,['100+49sin((2pi/35)t)+0e'],19.5,65.4,96.4,46.8,95.5,440.7
21,['100+49sin((2pi/32)t)+0e'],18.6,65.8,95.2,47.8,95.4,342.1
