episode,game,exploration,explored,safe,MA_explored,MA_safe
0,['100+49sin((2pi/39)t)+0e'],99.0,-52.5,87.0,-52.5,87.0
1,['100+49sin((2pi/39)t)+0e'],98.0,-61.5,87.4,-57.0,87.2
2,['100+49sin((2pi/37)t)+0e'],97.0,-1.9,93.0,-52.5,87.4
3,['100+49sin((2pi/37)t)+0e'],96.1,-2.8,90.6,-27.7,89.0
4,['100+49sin((2pi/36)t)+0e'],95.1,3.6,90.5,-2.8,90.5
5,['100+49sin((2pi/37)t)+0e'],94.1,-11.8,96.7,-7.3,90.5
6,['100+49sin((2pi/39)t)+0e'],93.2,-21.8,95.1,-11.8,90.6
7,['100+49sin((2pi/36)t)+0e'],92.3,-39.7,93.9,-16.8,91.8
8,['100+49sin((2pi/37)t)+0e'],91.4,-18.3,93.2,-18.3,93.0
9,['100+49sin((2pi/36)t)+0e'],90.4,-26.8,91.6,-20.1,92.3
10,['100+49sin((2pi/35)t)+0e'],89.5,-42.7,94.5,-21.8,93.0
11,['100+49sin((2pi/37)t)+0e'],88.6,4.1,93.6,-20.1,93.1
12,['100+49sin((2pi/39)t)+0e'],87.8,-1.5,93.8,-18.3,93.2
13,['100+49sin((2pi/36)t)+0e'],86.9,5.2,94.4,-15.1,93.4
14,['100+49sin((2pi/38)t)+0e'],86.0,-35.9,96.0,-18.3,93.6
15,['100+49sin((2pi/39)t)+0e'],85.1,0.9,93.0,-15.1,93.4
16,['100+49sin((2pi/35)t)+0e'],84.3,-8.0,89.9,-11.8,93.2
17,['100+49sin((2pi/36)t)+0e'],83.5,-23.2,94.0,-15.1,93.4
18,['100+49sin((2pi/38)t)+0e'],82.6,-34.7,94.7,-18.3,93.6
19,['100+49sin((2pi/36)t)+0e'],81.8,5.5,92.3,-15.1,93.4
20,['100+49sin((2pi/36)t)+0e'],81.0,-53.8,93.2,-18.3,93.2
21,['100+49sin((2pi/37)t)+0e'],80.2,-34.0,95.8,-20.1,93.4
22,['100+49sin((2pi/39)t)+0e'],79.4,-0.7,97.5,-18.3,93.6
23,['100+49sin((2pi/37)t)+0e'],78.6,13.5,96.9,-15.1,93.7
24,['100+49sin((2pi/36)t)+0e'],77.8,-7.9,92.7,-11.8,93.6
25,['100+49sin((2pi/36)t)+0e'],77.0,-61.5,97.8,-15.1,93.7
26,['100+49sin((2pi/39)t)+0e'],76.2,-18.8,97.4,-18.3,93.8
27,['100+49sin((2pi/36)t)+0e'],75.5,6.7,97.1,-15.1,93.8
28,['100+49sin((2pi/36)t)+0e'],74.7,-14.0,95.9,-14.0,93.9
29,['100+49sin((2pi/39)t)+0e'],74.0,-9.8,97.0,-12.9,94.0
30,['100+49sin((2pi/39)t)+0e'],73.2,19.1,91.2,-11.8,93.9
31,['100+49sin((2pi/35)t)+0e'],72.5,-21.8,92.2,-12.9,93.8
32,['100+49sin((2pi/35)t)+0e'],71.8,1.3,94.8,-11.8,93.9
33,['100+49sin((2pi/36)t)+0e'],71.1,0.1,94.3,-10.8,94.0
34,['100+49sin((2pi/35)t)+0e'],70.3,28.3,93.3,-9.8,93.9
35,['100+49sin((2pi/37)t)+0e'],69.6,-20.6,98.1,-10.8,94.0
36,['100+49sin((2pi/37)t)+0e'],68.9,30.4,97.5,-9.8,94.0
37,['100+49sin((2pi/36)t)+0e'],68.3,12.3,93.8,-8.9,94.0
38,['100+49sin((2pi/39)t)+0e'],67.6,-1.1,98.2,-8.0,94.0
39,['100+49sin((2pi/39)t)+0e'],66.9,-3.1,94.2,-7.9,94.1
40,['100+49sin((2pi/35)t)+0e'],66.2,47.3,93.3,-7.9,94.0
41,['100+49sin((2pi/37)t)+0e'],65.6,28.7,96.6,-5.5,94.1
42,['100+49sin((2pi/39)t)+0e'],64.9,45.2,97.3,-3.1,94.2
43,['100+49sin((2pi/38)t)+0e'],64.3,5.9,93.4,-2.9,94.1
44,['100+49sin((2pi/36)t)+0e'],63.6,21.9,97.5,-2.8,94.2
45,['100+49sin((2pi/37)t)+0e'],63.0,-54.7,97.7,-2.9,94.2
46,['100+49sin((2pi/36)t)+0e'],62.4,17.0,95.6,-2.8,94.3
47,['100+49sin((2pi/37)t)+0e'],61.7,22.2,95.0,-2.4,94.3
48,['100+49sin((2pi/36)t)+0e'],61.1,15.1,97.8,-1.9,94.4
49,['100+49sin((2pi/36)t)+0e'],60.5,14.2,95.0,-1.7,94.4
50,['100+49sin((2pi/36)t)+0e'],59.9,23.3,94.9,-1.5,94.5
51,['100+49sin((2pi/39)t)+0e'],59.3,-8.8,97.1,-1.7,94.6
52,['100+49sin((2pi/39)t)+0e'],58.7,12.7,97.9,-1.5,94.7
53,['100+49sin((2pi/36)t)+0e'],58.1,27.9,94.2,-1.3,94.6
54,['100+49sin((2pi/35)t)+0e'],57.5,16.2,94.3,-1.1,94.5
55,['100+49sin((2pi/35)t)+0e'],57.0,7.6,96.4,-0.9,94.6
56,['100+49sin((2pi/38)t)+0e'],56.4,35.6,93.4,-0.7,94.5
57,['100+49sin((2pi/35)t)+0e'],55.8,32.0,94.3,-0.3,94.4
58,['100+49sin((2pi/37)t)+0e'],55.3,20.7,96.8,0.1,94.5
59,['100+49sin((2pi/35)t)+0e'],54.7,13.8,96.1,0.5,94.6
60,['100+49sin((2pi/36)t)+0e'],54.2,35.6,97.2,0.9,94.7
61,['100+49sin((2pi/38)t)+0e'],53.6,24.9,95.8,1.1,94.7
62,['100+49sin((2pi/38)t)+0e'],53.1,20.6,93.8,1.3,94.7
63,['100+49sin((2pi/37)t)+0e'],52.6,40.8,97.7,2.5,94.7
64,['100+49sin((2pi/35)t)+0e'],52.0,18.3,91.5,3.6,94.7
65,['100+49sin((2pi/36)t)+0e'],51.5,46.4,98.0,3.9,94.7
66,['100+49sin((2pi/39)t)+0e'],51.0,-2.4,96.0,3.6,94.8
67,['100+49sin((2pi/39)t)+0e'],50.5,11.0,98.2,3.9,94.8
68,['100+49sin((2pi/39)t)+0e'],50.0,-11.8,94.6,3.6,94.8
69,['100+49sin((2pi/39)t)+0e'],49.5,9.8,95.7,3.9,94.8
70,['100+49sin((2pi/37)t)+0e'],49.0,52.1,97.0,4.1,94.9
71,['100+49sin((2pi/38)t)+0e'],48.5,35.3,94.6,4.7,94.8
72,['100+49sin((2pi/39)t)+0e'],48.0,33.7,93.8,5.2,94.8
73,['100+49sin((2pi/38)t)+0e'],47.5,21.9,98.2,5.4,94.8
74,['100+49sin((2pi/38)t)+0e'],47.1,9.5,97.1,5.5,94.9
75,['100+49sin((2pi/39)t)+0e'],46.6,37.3,90.5,5.7,94.8
76,['100+49sin((2pi/38)t)+0e'],46.1,41.7,92.6,5.9,94.8
